""r"",""q"","η"
"[0.6567705196528992 0.7416953428044964 0.016316779378402767 1.1085946109281892 0.8653289849399655 0.30734514899304705 0.1736502884356234 1.1912675120316016 0.6880522363981492 0.16296794236432968 0.7342851338607392 0.6675646839681939 0.5538123045898131; 1.0536668382572296 1.7867839530442662 5.430669403831515 0.2301584108908875 0.4895843453760662 0.9237527088058894 0.4966069999405851 1.7028919898777777 1.0538078784728913 0.7204062976442402 0.8030803944469574 0.9239519721199503 0.6747732667804556]","[0.00048032987408180405,  0.021354947181173766,  0.0007414676003637848,  0.2712994463275682,  0.0008499880878628357]",0.8653201560141582
"[0.31643502061379786 0.6612680485852289 0.1008282117081247 1.139672155669229 0.9745321908642413 0.2968452357844021 0.13807662793166695 1.200922721339472 0.7273699023243752 0.1266259681461529 0.6645865135352365 0.7316311220758684 0.5344982265769613; 0.6384108644678077 1.3367404768445932 4.878567791316531 0.19871789624399128 0.329320694085718 0.9823380796986082 0.7197656160482999 1.6443048388516137 1.128295798056352 1.0289383075432492 0.801886545354027 0.9091825297268626 0.712717895090107]","[0.0010237948331719977,  0.03398421905443091,  0.0008748673675728778,  0.29591091882113457,  0.0003266162531379989]",0.8799982727475054
"[0.7139620062521269 0.7887873581702809 0.055402201026693854 1.1671271881254126 0.8194040403735345 0.3162168909012564 0.1180716129317011 1.1158630592124303 0.7102709901828264 0.17490810833255402 0.7460540396690544 0.6570921451353677 0.5476688929424932; 1.296055655195212 1.5805230643741996 4.879638678227332 0.237092892421904 0.44134611631515624 0.9171563919189754 0.6090636631270145 1.7407377174296383 1.0726029918621052 0.8499590709776936 0.7554017848324655 0.9377097219364229 0.6532742243364154]","[0.00034985518069621357,  0.04278727429878434,  0.0010204116839267938,  0.26028201991531824,  0.0023328202262900043]",0.8662439721229812
"[0.3948607092937802 0.7118448591381829 0.027710939686422156 1.1828832033571284 0.8371846528689983 0.2993725434504502 0.18140289670842552 0.9864552948538585 0.7371178319381111 0.3591857602415398 0.6824628496227688 0.6693232920855663 0.5506232917898919; 0.7779185434471125 1.5240604062694696 4.755066330128829 0.24507316846384103 0.38985301789047716 0.9828245268501838 0.7371810543644223 1.561955981413282 1.0788980836526367 1.2129299012464494 0.7814739946762395 0.9412278795499933 0.6668433952768705]","[0.0011670080941682747,  0.04538856851275879,  0.0010323477413745664,  0.2821424667284766,  0.0013216769254861989]",0.8747283871633766
"[0.5073514929634397 0.6690075028277822 0.050830692187326484 1.094836919563715 0.9535789368200404 0.30476493362003765 0.1287048590099788 0.8381958449931741 0.7013791190292231 0.044838677884386904 0.7201525764406442 0.7089540884628363 0.5403687733120927; 0.9223440111719138 1.448967105134764 7.611841701476506 0.18516869702573122 0.4160217510825321 0.8989846644598694 0.5640481817305336 1.7614496675109705 1.0975687477929312 0.4561960103266284 0.8126831980671174 0.9589695520325124 0.7028905734124757]","[0.00014912741473412517,  0.07273689298930744,  0.0022231362515696697,  0.2542866820270831,  0.000359601831786206]",0.8625590886602573
"[0.5452515123536791 0.7400046472430171 0.12373608767265862 1.1272771187576371 0.9648911244306015 0.27670207944321923 0.08984548775750181 0.8525937154460665 0.7050669981884066 0.07632558425887219 0.6999612442451033 0.7410826633086022 0.5560146378372732; 0.8903861907326003 1.4634405973566038 5.667109202116152 0.21128095773629552 0.4518887131776384 0.9413643178606282 0.5303223355173028 1.7284501708719955 1.0411523120403137 0.9611449428829093 0.7734225661082492 0.9124217537304825 0.6594528205026008]","[3.250635575898417e-6,  0.05778792608080578,  0.0024318980748623447,  0.2889314014128957,  0.002329402074615976]",0.8673282473697947
"[0.6938000466431008 0.693073949336926 0.033713376482378175 1.1066887605219557 0.8720113273082392 0.29206694513820225 0.07375816677543881 0.7927856863131937 0.7459926090913468 0.16366067245126326 0.7397999423227042 0.7172274261920173 0.5742563939927642; 0.6388760629130221 1.3230174507291603 5.596418848320566 0.21582041826266773 0.4296725518263178 0.9207205280033449 0.6850049189277876 1.6817740511239432 1.116943438128342 0.6212195663205684 0.7816957770279822 0.9874471772460418 0.7309690026198638]","[5.670641948460818e-7,  0.06511405533045661,  0.0017879430616091624,  0.2797575126880847,  0.0007288952872160726]",0.8670709990899441
"[0.5027010980761917 0.7370313388771329 0.05877531795063037 1.1440068174245872 0.9745057839605027 0.2914693767493567 0.09656746918003267 0.9367964889859134 0.7326553581694975 0.26438022591784893 0.7206464472417939 0.7181021393220998 0.5643677627822606; 0.863787733000027 1.5417292175260047 6.478257547987601 0.21033062037303776 0.43287768164565954 0.9253843179787768 0.5451344921319243 1.7946373715007995 1.0789562049154422 0.7759269591043747 0.7999328521151743 0.9474423150629427 0.7415929032487718]","[1.851112656561594e-5,  0.05429388469556963,  0.0038128337400200355,  0.29372418527829125,  0.0006922277709742296]",0.8720820771034627
"[0.34058835088731276 0.7073970514768748 0.04874838551807556 1.1377871881785109 0.8169006713208394 0.3172685094518204 0.22502567194281076 0.8261534464931961 0.7179550809317786 0.09028051166590792 0.6848245531224193 0.6626484045383061 0.5288074690059928; 0.9176641228144415 1.4315199716473423 5.851044778403129 0.21029969076492575 0.4043985625973223 0.9622070752981635 0.6562794475895642 1.6103338715073536 1.0926478051708735 0.7962575541673713 0.8306360229176619 0.9826806910248758 0.6650003069653772]","[0.002349921734806989,  0.06685070087489293,  0.00024636800875106206,  0.26063449186514626,  0.0006304260024172443]",0.8685402470149058
"[0.4782649089808684 0.7046030214405996 0.08873630732012024 1.126400984529916 0.8965065136065535 0.31370921360682474 0.246052985672391 0.8463007078301369 0.7002931270261605 0.11334008092657308 0.6910978662923313 0.6600719763260653 0.5522570594674242; 1.0631171922031926 1.443120919578555 6.717059973185798 0.2181105572915571 0.36043234995291157 0.9325934757747559 0.6606736489676579 1.5568724634805682 1.1030915346628565 0.7167292478443991 0.8129114864946699 0.9893235408377056 0.6676029757307713]","[0.0006135192295120192,  0.06182206043409231,  0.00026373669284579385,  0.2712661790758815,  0.0020133729346329737]",0.8641899895302924
"[0.40808859161526734 0.6974369300614878 0.055709884312858615 1.1270805036791802 0.7723400931556059 0.30799571065037656 0.15579696061721743 0.7204569576880913 0.6472896723621644 0.06516235356108886 0.6694338869342276 0.6716848855968771 0.5647298873174939; 0.8406760617307797 1.5524740361231084 7.9924611073091585 0.22248527773915128 0.45898136979573234 1.008563141127241 0.617298862665761 1.7208478527546909 1.1213252364848212 0.9205566400469295 0.8236328293977382 0.982425639776297 0.6517000354222893]","[0.00023644077729370272,  0.07850239820612677,  0.0006621497481975265,  0.2980642047380086,  0.0002710977637716983]",0.8554581997608863
"[0.3308163354949908 0.7046656705552629 0.07956474887351372 1.1580414755899753 0.8702227456327204 0.2966385992138572 0.17922645661064537 0.548383659887784 0.7417290365660377 0.18766475730981522 0.7472363665284969 0.7138330537673065 0.5640874955525327; 1.2937217716258207 1.45605687970369 6.3439999876429924 0.22305128373067515 0.4552878815757946 0.9447337256404155 0.6317087072352117 1.6918575460197307 1.0814305826350143 0.913412762795315 0.7965395778075406 1.0436021408066778 0.7229741684337525]","[0.000184149080808896,  0.08864945494226498,  0.002409426288697572,  0.2894719397364634,  0.00015256183078188215]",0.8653460264258022
"[0.5648584844623182 0.7071232417634006 0.047875206821919536 1.1286657523247912 0.8825018517382007 0.3099529500058216 0.17872480475079958 1.1201330010684274 0.7226538795555253 0.14205201667717612 0.6623825675125525 0.6620407991329389 0.5404189239132045; 0.6189140050514189 1.468309636509676 6.215195150852084 0.19307372926628963 0.3987254277785136 0.9456941228826221 0.6054603076517145 1.7029563530984468 1.051439763433618 0.8153677470931697 0.7739254650777763 0.8575999301576588 0.64865410808182]","[0.0012305738376056417,  0.0370703648462471,  7.474421945901941e-5,  0.25764522687289276,  0.0001294281098001799]",0.8687556550467754
