r,q,η
[0.6870615857966849 1.1133475425783448 0.18338056322748722 1.0372634494653166 3.4033452640536197 0.230895152418732 0.5627422634879294 2.1539109995631818 0.3257549803503452 0.25480261461108034 0.766453745033126 0.7875689735066221 0.5938694100952062; 2.5577322060610195 4.477021300814211 1.4215112208749294 1.2394216704606142 2.723004565307116 2.7596561514631763 0.16750956024668787 8.34234888570536 4.672533439623668 0.17394978794779 5.046828420069962 5.361723653211934 3.1239527487844403],"[0.0018810288546316763, 0.7735372049095051, 0.01829315326798772, 0.37930042218707066, 0.0012130976469294844]",0.6738713678428634
[0.5031991645944659 0.9255232614226108 0.11322455691693914 1.1784253161855704 2.833990975524642 0.16847742043188724 1.5434971826441592 1.8475828421425395 0.3486690458552059 0.8393352145540729 0.809823889511932 0.6332408435241843 0.40049720417037954; 1.7731034111869393 3.843622671872371 1.0961978332490234 1.2034618498391083 2.287070784422334 2.8940310321016924 0.8063790255017769 9.24545580874717 4.929840101562707 1.184984894602408 5.592928330908576 5.287748879529965 3.05249453980256],"[0.01693806394607135, 0.9824595859944166, 0.008256066212146395, 0.4957210513561793, 0.0010535364096636805]",0.6955518252760093
[1.5850385904707753 1.1468839400339508 0.17284919744179 1.0637623109705228 3.3856417302007347 0.249595412022201 0.7444222009263859 2.0592714661281715 0.41947838934942755 0.7314496870158168 0.752347308056896 0.7538187584258369 0.4827191065529468; 5.680995036703904 4.677193436282744 0.6170605893254655 1.2528139740076631 2.391357197368248 2.8770154868511635 0.14974202373636264 9.679336310780442 4.951088025050959 0.254979814901136 5.021500557061529 5.099036068943583 2.987529914051273],"[0.0005390607354302554, 0.9910798742117505, 0.015214807267456274, 0.38933794039459974, 0.0006255058964512436]",0.6974622405776824
[0.46394210538365516 0.8393387850927476 0.26705567896143995 1.1839617872785646 3.2819108617320927 0.17249767923443526 0.6297030961783477 2.017529523213767 0.31413256202810363 0.5285482884298167 0.8813504710705463 0.630921886210414 0.4428255455852407; 2.1024732346326513 3.6936424280758198 1.6820824128553185 1.192321478041108 2.418171933532842 2.8524493203233665 0.09257190705754602 8.470443416017602 4.809712647826235 0.37852440914702495 5.430443776406819 5.240882886638465 3.1146112978325666],"[0.009360769081449906, 0.8371375484237836, 0.011221249076169537, 0.4643266334569711, 0.004394931612539458]",0.6805166810174993
[0.9083393140162718 1.298316602744658 0.04514525481568127 1.044779153288266 3.4702864695836624 0.23419155774142297 1.7866462053584908 2.132810585266025 0.45845617813343953 1.0731407147882757 0.7272418212059308 0.6643554194682201 0.47878968890677087; 2.9308184832671387 4.919054139473503 0.37538109051245605 1.1356731077318194 2.4795027914472962 2.88985127368787 0.7150114236000671 8.961745190633307 5.083529223693667 0.8963293070102737 5.324610264000826 5.245843964708501 3.088901293258203],"[0.0014557070020102477, 0.9562104847372113, 0.007576910898127047, 0.40789224009078445, 0.00038332560927013413]",0.7019206458661736
[0.5179778947312701 0.8812497559545621 0.24140849157840227 1.1816171204725703 3.183505032311812 0.16203194564427403 0.3616435136998507 2.0289635281919494 0.3131251117800911 0.25547912939450435 0.8794398689369344 0.6558030464076128 0.3786955311842245; 2.164814573796324 3.7361625535078447 2.236615053574507 1.2244432291445186 2.47034360082866 2.7930974239782698 0.09978589588698689 8.50814035287137 4.69041359393618 0.2851544173630114 5.2165943648182305 5.1159884555819755 3.023362274208001],"[0.004522888154359585, 0.8255681437397495, 0.02199811073602903, 0.44181437693839387, 0.005478675426000166]",0.6953239655832828
[1.0703395921363628 1.1992057935187592 0.08545153671953216 1.055350380388019 3.6535382608672746 0.2427727180256428 1.8166437780719975 2.0308727749371833 0.3826928715881913 0.7234994792801559 0.7139764596145903 0.7109918454731505 0.5268318229542692; 2.3001694965624875 4.769376867736297 0.5941150286786818 1.2465503497743404 2.5505759743738663 2.954945560165845 0.6760950920285191 8.813721327465128 4.8140196847828935 0.5769809404303241 5.453103525529636 5.27733129509399 3.1090507642653686],"[0.004772064729367315, 0.9318348433733888, 0.010628773669960338, 0.41446721720994306, 0.00010597692377286506]",0.7133151024619292
[0.6245675475617871 1.0256334116574541 0.27514325592365135 1.1868325918107796 3.0164951160939086 0.21170036336168957 0.761436224970845 2.390709105413129 0.3819000920241086 0.5723268317477687 0.8965755225099327 0.6605076705756485 0.46478693821145606; 3.1014124966991052 4.079313409264378 0.39836790757113894 1.218919320525332 2.1133641113690893 2.813747142238577 0.31888433253230675 8.77578395362831 4.938293396126042 0.6318575169879879 5.391957092018055 5.313935145304412 3.0388840825387566],"[0.008213896018353163, 0.9022046540990621, 0.0007310611233457951, 0.4920368330844763, 0.00035901889992516944]",0.6946522660748765
[1.1040254701690617 1.0189256065034222 0.3803752994820725 1.147697289083668 2.916431969394047 0.21771802767451146 1.1895619116182132 2.305023503318187 0.35717643088241113 0.4458407820255931 0.6994395054174596 0.6900789813633832 0.48229392052200865; 2.804071400020959 3.8888719768412003 0.501300715243943 1.2611115712845558 2.2418175786383845 2.743917059995416 0.3937665071526619 9.081848019425847 4.859551593210082 0.663812060126771 5.398964991351952 5.595164524470958 3.103036810673537],"[0.02120694246472619, 0.9237471062276673, 0.002652772940770441, 0.4785560519882193, 0.0009521065962571975]",0.6857790756893334
[0.6295660104981662 1.1315183236406101 0.103631334245976 1.0995254947906197 3.7333612140026964 0.2023634829414265 1.3740436422263502 1.7790859019668788 0.3423573711888921 1.256111220078119 0.8759377670455216 0.6918555614640162 0.46912695425516227; 2.0841449735564836 4.450204415325414 0.7395051400413495 1.1777334480013883 2.4914599236000097 2.852437976741665 0.11163146894144797 8.870269342639773 4.838245571825934 0.3938757057867479 5.221167986987123 4.946112314252071 3.0490073819084893],"[0.00030159799767830745, 0.8704579977744752, 0.01059645289624369, 0.4127027417191015, 0.0010806585899784534]",0.7071394844008091
[0.9401345154030738 1.1156216251075155 0.30003659420759554 1.0829905156470276 2.964463607561595 0.19292896109517416 0.8384543770571576 2.1238855189131653 0.4175226680489281 0.5218415235185451 0.763610083130168 0.6028710385205985 0.4130007065959068; 3.0348607162389505 4.311081275433016 0.870534203342457 1.1668270042037054 2.050332256677422 2.7535630915936826 0.17738316383389238 8.928495039425675 4.669064089228233 0.6459402302631818 5.275205770700579 5.323277565857501 3.0639351707788203],"[0.00014537011116670594, 0.888836643326141, 0.021156545560594046, 0.3929663016451407, 0.0005322184170952466]",0.7056937881736832
[0.6337989345510163 1.0242077220437453 0.16584378731486288 1.1296829419397387 3.4717252992365566 0.17315182627960807 0.8902652374429904 2.0905146514774406 0.36786830198129394 0.5393683579937348 0.7988912418881847 0.7468388020169765 0.44676624694508116; 2.9635341534090016 4.052498763676719 0.6754633475873095 1.188233660700552 2.4956605738960738 2.8604333759065774 0.3697059091462203 8.509655445304638 5.040990302296832 0.324867025949694 5.327312523691133 5.149912004297535 3.0138764524239128],"[8.109570662141829e-5, 0.868000964269531, 0.010206299848314646, 0.39556363767250813, 0.000295139535796637]",0.6989159846015295
[0.9307435593798965 1.022867375917996 0.5016834769266184 1.1065599268628887 2.9334538303561866 0.25509432582395397 0.8528056879990797 1.9354321108881405 0.3622661833782411 0.36999930187917074 0.7112423805918882 0.701018843051745 0.45949747763820137; 2.0528116322825483 4.045865230061112 1.0839295122624788 1.2545834963796492 2.4470028792036063 2.738178812704423 0.19050080503599617 8.38700688211436 4.622508931912534 0.22142956830252478 5.235243142407821 5.429198547886846 2.9792311857663463],"[0.00011166043270700231, 0.8763934262005767, 0.024791716841529702, 0.44651823121292034, 6.672616526784171e-5]",0.6846381782025548
