r,q,η
[0.49357834021801184 0.6386351289176861 0.06047978290875238 1.1134920621910132 1.0259649223914815 0.30939114417189384 0.1778437568950808 0.8547102417690532 0.6913636720031292 0.3005450620201473 0.7229172320806733 0.6693389556167341 0.5554703568132006; 0.8605775861709465 1.353450525441679 5.31578601429943 0.18656068662946507 0.3705798229174864 1.0392953764020008 0.714167957552689 1.6235543185951957 1.0443352086328237 0.4840670307349816 0.8235772477635018 0.9050590546237378 0.6710469305533356],"[3.522857930371738e-5, 0.04837329656723903, 0.0005811144919926941, 0.274817207171517, 0.0014577408779736284]",0.870548432292973
[0.5772956836967958 0.7457558915349606 0.10644885337750368 1.15044995865695 0.9135153264647011 0.3048782807206324 0.13395866639515575 0.9737850778969741 0.7246764531094152 0.11586410579511468 0.6990388608669384 0.7158372399015872 0.5255867957259764; 1.0632621984769037 1.4996342106578198 6.490126934319411 0.21359626667868042 0.308567588348726 0.9486602672690296 0.6016408377179365 1.810024084300237 1.0717992934968037 0.9914014040829953 0.7911187690415014 1.0229344631747193 0.7285006423557763],"[6.953483418765083e-6, 0.06418620937702248, 0.0015436555731569432, 0.2724756990096583, 0.0004585169744423457]",0.867207629133349
[0.44071695075909756 0.7120554994021451 0.11139453622347341 1.131047992739207 0.9014457534782632 0.31966584247034024 0.16047772611398675 0.7649512994121156 0.7090963119577439 0.08691859960742288 0.7278928563094821 0.7490681699181165 0.5312936246274643; 0.9418793465304642 1.4157760174962162 6.29999219885456 0.21655276409853208 0.2947234911551584 0.9593728720922521 0.5286069120440365 1.7727824424342482 1.0892385150540702 0.6555561618536896 0.7437287110451825 0.9318769090269998 0.7043294145543282],"[3.926090542424449e-6, 0.06610180177143563, 0.0042597235854664305, 0.26205829638412087, 0.0006249577338051601]",0.8749985075854151
[0.3859224016550837 0.6849464405066925 0.03762588601789814 1.156380716860711 0.981242675370796 0.28429954597971907 0.17808365509958995 0.9568284712951535 0.7212015351205054 0.29868669735558173 0.6903042900338486 0.630807690413184 0.5763517830070195; 1.329250681279455 1.4065710275891616 9.809601804966164 0.2009326306899885 0.41654258302169633 0.9256196060335543 0.6979154947417159 1.626370182446258 1.0605424199226523 0.8531080586134707 0.8610771320832734 0.9674026652833102 0.6843906191011497],"[0.00017272003885686547, 0.052298391016257294, 0.00021512724833993064, 0.27264356487699526, 0.0010660418035908917]",0.8594422584107924
[0.47616012098497934 0.6790988842373703 0.06807861645494785 1.1382444342525864 0.9254498717424868 0.28109871512564116 0.14357109118325648 0.8053373555784111 0.7137148335623766 0.22219516319214513 0.7053847923143854 0.6528198747772687 0.5359358071477062; 0.925477623365273 1.4209571655986486 7.477343122192749 0.2266803270452854 0.4171214105052577 0.9523965891191808 0.512102894283142 1.6096044030081067 1.0474419333846359 0.8259894118373426 0.8416934041042621 0.9277482265690381 0.6738448152784278],"[0.0002721731833028963, 0.06746897229584846, 0.0002611666146608328, 0.2889844231273608, 0.00029139343208264764]",0.8578891762953343
[0.497673885767969 0.7352571322740096 0.0780754147019264 1.139401015470028 0.9024587265885107 0.3313483671903226 0.19153752834043228 0.9196591054551598 0.7316667142580531 0.1299641913716402 0.6999086775476362 0.7326822005166256 0.5700368461242292; 0.7920981652626937 1.4888946075428229 4.964872396235697 0.18848349454862956 0.3864976879861879 0.892985884689188 0.6006046229456022 1.7228843379079544 1.099040936812344 1.0028220287260923 0.6750729445630379 0.8805895864125892 0.7135905449067821],"[0.0006220615735126741, 0.05856222888841865, 0.00040346070452302295, 0.2674931969408579, 0.0017550762186780385]",0.8752919305623156
[0.30433159950263694 0.7436179643072794 0.030021294219811704 1.1047054417791855 0.8893429643767126 0.32965217437240496 0.10144055896136783 1.1882523939508989 0.6916597988538987 0.2111031221424153 0.6831598126707757 0.7032334275715701 0.552366328469804; 0.9979246052161852 1.556610722629209 3.762224538467488 0.21084384051804592 0.4740420450435582 0.9050458718479089 0.36376818538288214 1.6315110470830656 1.0223968072276275 1.0671298453969025 0.6861957420397035 0.9013871261975024 0.6577250986611989],"[0.0007300291457543128, 0.02971760866928416, 0.006070412990987345, 0.2716253733647672, 0.0005548100908062157]",0.8708935061677135
[0.4399804650450985 0.7197420255974118 0.0721126247557674 1.0970455692274563 0.8789891754555251 0.30239945758644654 0.12954497389326178 1.1179566236827148 0.6743515083642058 0.23095348581920586 0.6408959475908127 0.7324094136599961 0.5674742785389354; 0.9749494400382522 1.6145815362453548 5.544441799598177 0.20782065362635557 0.48032901801619104 0.9462070091509339 0.3549729287458923 1.7266636284512775 1.0640932255254483 1.1219876815384981 0.7247989611168391 0.8745405829331033 0.708984662092792],"[0.0006366095823108413, 0.03284863270477397, 0.0008300203726598187, 0.27067014334908124, 0.0004739868241190761]",0.8726695221244272
[0.3415097442649573 0.7780994296033388 0.08042247432377934 1.13858537799304 0.8562247302423757 0.33363806468651747 0.23939114685713608 0.6127916918889937 0.7240054404418285 0.21151448527265493 0.7152974441536702 0.6233628643653211 0.5157059935041143; 1.9820624498369455 1.5329223513115935 4.419901319090073 0.20555497718179216 0.47376503778913326 1.001747087446093 0.5471082593261724 1.7257813400558895 1.0263669654197445 0.8617987687923957 0.7511034009217499 0.888600683730781 0.6961529069868979],"[8.685098269942616e-6, 0.08397678851650602, 0.0009334007404527437, 0.298651106002581, 0.0006962522489031213]",0.8745380087144551
[0.4549885223972781 0.7078081545085497 0.10753997272243056 1.1096632111543294 0.8380459980849434 0.3153659956677986 0.19886056639437927 0.7594724340149305 0.7295308696834628 0.19176215255990675 0.6991678597208847 0.6344609155373574 0.5344251275971718; 0.9231112668812104 1.4399395886662079 4.361713483858485 0.21457277972494743 0.43864736908558916 0.945213252223244 0.6261100129832309 1.6369054484798398 1.0852471940815682 1.318738195447481 0.7487772863879383 0.8962440262441072 0.754942715124114],"[7.717578717248211e-6, 0.07283796243634244, 0.00016916071950879118, 0.2900981149804936, 0.0010041386856729892]",0.8705469326473849
