,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,q1,q2,q3,q4,q5,q6,q7,nu,eta,prior,lhood
22.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.17146,0.01044,0.14489,0.15276,0.71044,0.00059,0.58396,0.1,0.8568973068319657,115.20797269623331,-280.9579558545428
23.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.02683,0.12977,0.19213,0.36277,0.71910,0.00059,0.32611,0.1,0.6955134681319337,115.20797269623331,-280.54061718999407
24.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.02683,0.23633,0.07719,0.10645,0.77470,0.00059,0.31664,0.1,0.6462572703339677,115.20797269623331,-281.5198014165239
25.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.06897,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17562,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.19708,0.23633,0.07719,0.18545,0.77470,0.00059,0.28027,0.1,0.6104466154876496,115.20797269623331,-282.8179353762347
26.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.05845,0.06933,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17007,0.17375,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.19708,0.37495,0.03974,0.18545,0.91312,0.00966,0.35482,0.1,0.5919131465113436,115.36295464664849,-284.4534980126596
27.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.05845,0.06993,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17007,0.16971,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.19708,0.37495,0.03974,0.18545,0.91312,0.00966,0.35482,0.1,0.6056969569761199,115.09058061336512,-284.272555322626
28.0,0.07596,0.07527,0.07511,0.07199,0.07483,0.07291,0.07127,0.06473,0.05966,0.05845,0.06993,0.07275,0.07006,0.06938,0.07226,0.07328,0.07678,0.16959,0.17024,0.16090,0.16543,0.17181,0.17310,0.17219,0.18011,0.18125,0.17007,0.16971,0.17519,0.17075,0.16660,0.17202,0.17376,0.16872,0.22820,0.03465,0.09428,0.31826,0.73083,0.05053,0.35482,0.1,0.6056969569761199,115.09058061336512,-283.03328247112927
29.0,0.06670,0.06601,0.06585,0.06274,0.06557,0.06365,0.06202,0.05547,0.05040,0.04920,0.06067,0.06349,0.06081,0.06012,0.06300,0.06402,0.06752,0.14156,0.14221,0.13287,0.13740,0.14378,0.14508,0.14416,0.15208,0.15322,0.14204,0.14168,0.14716,0.14273,0.13857,0.14400,0.14574,0.14069,0.16052,0.03465,0.18263,0.31826,0.73083,0.05053,0.45441,0.1,0.6630894163930297,118.35155932577412,-281.90501863893047
30.0,0.07752,0.07683,0.07668,0.07356,0.07639,0.07447,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.14157,0.14795,0.14924,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.11728,0.03465,0.33178,0.24187,0.70746,0.05053,0.36353,0.1,0.8651580889166042,117.23426167551361,-280.95965564740925
31.0,0.07752,0.07683,0.07668,0.07356,0.07639,0.07371,0.07284,0.06630,0.06122,0.06002,0.07149,0.07432,0.07163,0.07095,0.07382,0.07485,0.07834,0.14573,0.14638,0.13704,0.14157,0.14795,0.11364,0.14833,0.15625,0.15739,0.14621,0.14585,0.15133,0.14690,0.14274,0.14817,0.14991,0.14486,0.11728,0.08855,0.26801,0.24187,0.79004,0.03677,0.36353,0.1,0.8196020181888185,116.18772609033576,-281.0162491671252
